# Time-averaged data for fix myat6
# TimeStep v_pressure
0 786.072
5000 741.155
10000 857.56
15000 735.774
20000 755.963
25000 838.545
30000 833.82
35000 739.484
40000 835.668
45000 887.492
50000 1009.38
55000 1000.05
60000 598.829
65000 1000.22
70000 872.435
75000 691.485
80000 695.641
85000 852.6
90000 754.26
95000 916
100000 868.296
105000 691.212
110000 1076.34
115000 763.45
120000 858.016
125000 907.708
130000 726.468
135000 825.583
140000 839.48
145000 802.221
150000 889.369
155000 823.468
160000 960.052
165000 879.941
170000 858.437
175000 905.508
180000 1065.84
185000 845.51
190000 873.662
195000 898.064
200000 785.409
