# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -121.007
5000 -125.555
10000 -119.239
15000 -123.1
20000 -121.815
25000 -122.879
30000 -121.777
35000 -125.804
40000 -122.307
45000 -118.183
50000 -116.814
55000 -115.177
60000 -129.31
65000 -115.847
70000 -123.045
75000 -126.521
80000 -128.528
85000 -120.746
90000 -128.823
95000 -120.603
100000 -124.867
105000 -126.965
110000 -112.788
115000 -121.622
120000 -122.598
125000 -117.309
130000 -126.248
135000 -120.148
140000 -115.513
145000 -123.586
150000 -120.084
155000 -124.608
160000 -117.689
165000 -120.055
170000 -125.636
175000 -119.244
180000 -114.17
185000 -120.615
190000 -118.726
195000 -117.842
200000 -116.699
