# Time-averaged data for fix myat6
# TimeStep v_pressure
0 9371.84
5000 10553.5
10000 8990.41
15000 9837.91
20000 9697.08
25000 9678.52
30000 9884.53
35000 9708.3
40000 9502.44
45000 9761.84
50000 10379
55000 10088.8
60000 9217.78
65000 9817.09
70000 9581.68
75000 10088.4
80000 9167.25
85000 8957.07
90000 9407.42
95000 9762.08
100000 9470.74
105000 10140
110000 9935.8
115000 10089.6
120000 9580.41
125000 10215.3
130000 10335.1
135000 9761.66
140000 10381.5
145000 9300.34
150000 10039.2
155000 10319.6
160000 10358.9
165000 10392
170000 9623.02
175000 10054.5
180000 10133.9
185000 10505.5
190000 10411.5
195000 11041.6
200000 10153.9
