# Time-averaged data for fix myat1
# TimeStep v_Epot
0 28.489
5000 11.7336
10000 36.1881
15000 47.6193
20000 39.0379
25000 55.0009
30000 49.6396
35000 24.4725
40000 36.6252
45000 33.3913
50000 44.2265
55000 32.4997
60000 26.8181
65000 26.2948
70000 25.9052
75000 21.1695
80000 28.9293
85000 -6.09025
90000 24.8407
95000 22.8751
100000 12.8459
105000 22.727
110000 26.7607
115000 8.97683
120000 25.9447
125000 33.7914
130000 27.6444
135000 34.7222
140000 18.3144
145000 20.0555
150000 19.5242
155000 37.7699
160000 24.1356
165000 13.9123
170000 40.4676
175000 34.9685
180000 28.0734
185000 40.7168
190000 22.345
195000 49.3472
200000 36.5869
