# Time-averaged data for fix myat6
# TimeStep v_pressure
0 32163.3
5000 33359
10000 33179.1
15000 33948.8
20000 32668.8
25000 33078.1
30000 32709.4
35000 32499.9
40000 33372.6
45000 33508.9
50000 32947.3
55000 33168.1
60000 33358.6
65000 32902.7
70000 32635.6
75000 32914.2
80000 33038.6
85000 31678.9
90000 33145.2
95000 33012.5
100000 33209.1
105000 33402.6
110000 33013
115000 33049.3
120000 33241.6
125000 33447
130000 33206.4
135000 32509.9
140000 33532.4
145000 34490
150000 33596.5
155000 33391.9
160000 33765.9
165000 33705
170000 33269.8
175000 33565.6
180000 33358.7
185000 32502.3
190000 33451.6
195000 32379.5
200000 32251.5
