# Time-averaged data for fix myat6
# TimeStep v_pressure
0 3472.4
5000 4258.86
10000 3749.3
15000 3792.08
20000 3081.59
25000 3264.71
30000 3568.89
35000 3414.82
40000 3797.76
45000 3511.2
50000 3828.68
55000 3159.22
60000 3436.86
65000 3952.47
70000 3662.76
75000 3593.55
80000 3308.92
85000 3376.06
90000 3127.77
95000 3256.18
100000 3321.23
105000 3715.08
110000 3606.87
115000 3817.77
120000 3470.78
125000 3463.93
130000 3356.14
135000 3308.9
140000 3619.64
145000 3345.23
150000 3673.84
155000 3854.74
160000 3457.64
165000 3632.18
170000 3074.34
175000 3380.24
180000 3349.57
185000 3786.18
190000 3662.17
195000 3481.26
200000 3619.98
