# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -185.735
5000 -178.87
10000 -183.146
15000 -185.439
20000 -187.882
25000 -194.48
30000 -186.516
35000 -187.934
40000 -187.013
45000 -190.123
50000 -180.812
55000 -183.681
60000 -180.607
65000 -175.71
70000 -180.747
75000 -178.629
80000 -190.78
85000 -187.422
90000 -180.556
95000 -173.808
100000 -184.497
105000 -174.675
110000 -176.761
115000 -184.059
120000 -185.668
125000 -185.571
130000 -181.596
135000 -181.855
140000 -181.716
145000 -166.714
150000 -179.165
155000 -182.494
160000 -181.648
165000 -179.879
170000 -194.614
175000 -184.604
180000 -195.503
185000 -176.287
190000 -180.951
195000 -188.776
200000 -189.337
