0 0.041 
5000 0.049 
10000 0.049 
15000 0.051 
20000 0.050 
25000 0.049 
30000 0.049 
35000 0.050 
40000 0.049 
45000 0.049 
50000 0.048 
55000 0.048 
60000 0.048 
65000 0.047 
70000 0.048 
75000 0.047 
80000 0.048 
85000 0.049 
90000 0.048 
95000 0.047 
100000 0.047 
105000 0.047 
110000 0.046 
115000 0.046 
120000 0.046 
125000 0.046 
130000 0.047 
135000 0.047 
140000 0.045 
145000 0.047 
150000 0.046 
155000 0.048 
160000 0.045 
165000 0.047 
170000 0.046 
175000 0.046 
180000 0.047 
185000 0.046 
190000 0.045 
195000 0.045 
200000 0.044 
