# Time-averaged data for fix myat6
# TimeStep v_pressure
0 141.411
5000 146.493
10000 140.534
15000 153.338
20000 134.623
25000 143.372
30000 153.029
35000 116.092
40000 173.865
45000 153.749
50000 140.474
55000 134.854
60000 161.129
65000 156.136
70000 170.972
75000 155.692
80000 157.995
85000 127.809
90000 156.472
95000 133.23
100000 135.303
105000 133.517
110000 161.699
115000 146.279
120000 170.69
125000 176.946
130000 142.949
135000 140.41
140000 178.441
145000 167.847
150000 148.593
155000 155.614
160000 171.411
165000 132.614
170000 159.051
175000 131.067
180000 166.502
185000 149.358
190000 139.925
195000 153.955
200000 164.859
