# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -34.6845
5000 -34.7596
10000 -35.4705
15000 -33.3826
20000 -36.1957
25000 -31.5195
30000 -36.4827
35000 -36.3526
40000 -35.6363
45000 -35.9616
50000 -36.0411
55000 -38.609
60000 -35.633
65000 -37.1605
70000 -35.9214
75000 -34.9389
80000 -36.1246
85000 -33.2913
90000 -31.2352
95000 -36.1597
100000 -36.9858
105000 -33.8143
110000 -35.4309
115000 -29.8842
120000 -36.9426
125000 -34.6794
130000 -30.9435
135000 -35.5722
140000 -32.4807
145000 -34.9875
150000 -31.1299
155000 -32.3019
160000 -35.1869
165000 -31.2424
170000 -34.5022
175000 -32.4557
180000 -30.1509
185000 -38.0456
190000 -27.9654
195000 -35.153
200000 -34.4072
