# Time-averaged data for fix myat6
# TimeStep v_pressure
0 188.179
5000 176.277
10000 267.491
15000 180.79
20000 218.137
25000 197.804
30000 190.057
35000 186.942
40000 176.94
45000 216.437
50000 200.793
55000 185.223
60000 187.97
65000 199.616
70000 164.054
75000 183.36
80000 229.679
85000 193.038
90000 203.059
95000 196.443
100000 224.673
105000 208.429
110000 184.533
115000 219.953
120000 191.819
125000 199.084
130000 226.706
135000 200.16
140000 269.499
145000 226.082
150000 220.074
155000 194.944
160000 168.277
165000 233
170000 180.892
175000 181.388
180000 209.716
185000 167.554
190000 187.571
195000 198.459
200000 220.667
