# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -44.4237
5000 -45.9587
10000 -35.9804
15000 -44.5192
20000 -40.2554
25000 -44.3062
30000 -44.2153
35000 -46.4075
40000 -47.4507
45000 -44.6312
50000 -46.7362
55000 -45.8912
60000 -46.9497
65000 -42.3544
70000 -44.7469
75000 -48.2406
80000 -42.3197
85000 -42.1322
90000 -43.2531
95000 -41.7032
100000 -37.9143
105000 -41.9142
110000 -45.218
115000 -43.1088
120000 -41.5607
125000 -40.6421
130000 -40.3905
135000 -41.4687
140000 -36.4279
145000 -43.8171
150000 -44.8026
155000 -43.3252
160000 -45.5624
165000 -38.458
170000 -40.7963
175000 -41.0602
180000 -41.0976
185000 -44.2614
190000 -44.4894
195000 -41.8154
200000 -39.7983
