# Time-averaged data for fix myat6
# TimeStep v_pressure
0 576.017
5000 446.674
10000 607.601
15000 559.522
20000 449.682
25000 573.515
30000 409.299
35000 601.082
40000 567.114
45000 503.612
50000 596.831
55000 551.511
60000 440.956
65000 485.021
70000 439.016
75000 470.035
80000 510.888
85000 567.901
90000 623.26
95000 548.028
100000 509.661
105000 539.899
110000 524.842
115000 523.479
120000 469.639
125000 650.509
130000 583.616
135000 466.522
140000 530.299
145000 468.734
150000 628.582
155000 502.686
160000 572.853
165000 591.703
170000 473.361
175000 562.572
180000 509.503
185000 622.409
190000 579.555
195000 554.84
200000 545.031
