# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -96.51
5000 -95.7631
10000 -92.685
15000 -92.0664
20000 -89.7096
25000 -94.4146
30000 -88.8278
35000 -85.7206
40000 -93.6978
45000 -92.1105
50000 -90.7084
55000 -94.5818
60000 -89.4442
65000 -100.205
70000 -96.2444
75000 -98.9732
80000 -89.246
85000 -100.135
90000 -92.7334
95000 -100.863
100000 -93.667
105000 -93.5783
110000 -89.8255
115000 -98.4783
120000 -98.0632
125000 -90.5243
130000 -94.3415
135000 -95.9956
140000 -101.226
145000 -92.1516
150000 -96.238
155000 -96.5127
160000 -95.0523
165000 -88.4362
170000 -98.4767
175000 -96.5659
180000 -88.8024
185000 -92.8461
190000 -89.867
195000 -92.8825
200000 -91.4356
