# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -77.9173
5000 -75.5546
10000 -72.1579
15000 -76.2985
20000 -73.2334
25000 -74.3245
30000 -69.0657
35000 -75.482
40000 -78.2376
45000 -71.8648
50000 -76.5819
55000 -74.0845
60000 -78.8353
65000 -76.7092
70000 -77.3542
75000 -75.7602
80000 -78.7628
85000 -74.9405
90000 -76.5838
95000 -73.5186
100000 -79.7552
105000 -77.1182
110000 -79.0471
115000 -78.1526
120000 -75.4655
125000 -66.7698
130000 -72.4173
135000 -72.3114
140000 -73.507
145000 -77.3084
150000 -72.4771
155000 -78.4364
160000 -74.524
165000 -76.9003
170000 -73.9924
175000 -77.254
180000 -76.0169
185000 -73.1954
190000 -67.706
195000 -72.3102
200000 -80.1714
