# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -152.508
5000 -154.019
10000 -151.188
15000 -149.061
20000 -154.77
25000 -156.079
30000 -159.501
35000 -160.109
40000 -152.363
45000 -152.992
50000 -149.607
55000 -154.967
60000 -140.584
65000 -163.494
70000 -157.696
75000 -153.076
80000 -150.816
85000 -151.842
90000 -145.27
95000 -157.2
100000 -159.823
105000 -136.178
110000 -155.351
115000 -151.793
120000 -160.893
125000 -146.368
130000 -157.372
135000 -158.552
140000 -156.07
145000 -143.529
150000 -153.346
155000 -154.957
160000 -153.183
165000 -148.911
170000 -163.94
175000 -160.465
180000 -159.663
185000 -153.922
190000 -146.751
195000 -153.164
200000 -149.526
