# Time-averaged data for fix myat6
# TimeStep v_pressure
0 1491.04
5000 1525.99
10000 1711.47
15000 1659.19
20000 1432.94
25000 1410.09
30000 1306.69
35000 1342.95
40000 1551.43
45000 1546.6
50000 1618.3
55000 1642.05
60000 1878.03
65000 1246.36
70000 1409.74
75000 1640.57
80000 1656.8
85000 1587.81
90000 1887.07
95000 1476.54
100000 1357.81
105000 1996.08
110000 1630.43
115000 1612.96
120000 1365.45
125000 1729.42
130000 1379.62
135000 1411.96
140000 1481.23
145000 1804.46
150000 1549.09
155000 1549.69
160000 1567.89
165000 1689.99
170000 1368.14
175000 1309.64
180000 1387.57
185000 1576.69
190000 1741.85
195000 1618.14
200000 1574.97
