# Time-averaged data for fix myat6
# TimeStep v_pressure
0 238.274
5000 285.379
10000 258.278
15000 297.947
20000 280.787
25000 289.843
30000 336.94
35000 310.672
40000 326.367
45000 268.76
50000 303.698
55000 261.077
60000 230.355
65000 249.737
70000 274.34
75000 218.14
80000 251.439
85000 225.328
90000 287.661
95000 283.465
100000 241.486
105000 279.985
110000 258.779
115000 206.73
120000 223.16
125000 229.208
130000 260.249
135000 284.843
140000 252.898
145000 314.957
150000 253.896
155000 310.474
160000 305.012
165000 292.092
170000 231.212
175000 225.507
180000 303.784
185000 217.108
190000 266.028
195000 282.589
200000 247.812
