# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -58.064
5000 -57.7906
10000 -58.3568
15000 -61.3905
20000 -57.2502
25000 -52.8986
30000 -55.5372
35000 -56.8127
40000 -53.245
45000 -57.4672
50000 -52.7968
55000 -54.6412
60000 -56.125
65000 -57.7109
70000 -55.1114
75000 -57.606
80000 -55.9936
85000 -59.7208
90000 -54.9227
95000 -57.45
100000 -57.3824
105000 -54.8636
110000 -58.1229
115000 -59.6335
120000 -59.3206
125000 -55.9172
130000 -58.1983
135000 -56.4363
140000 -58.7967
145000 -51.184
150000 -58.553
155000 -54.6487
160000 -55.4819
165000 -54.267
170000 -60.9465
175000 -58.5269
180000 -52.3844
185000 -60.3643
190000 -54.619
195000 -50.7579
200000 -57.582
