0 -296.919 
5000 -178.058 
10000 -193.639 
15000 -164.916 
20000 -175.508 
25000 -168.481 
30000 -169.437 
35000 -169.210 
40000 -184.740 
45000 -171.130 
50000 -168.726 
55000 -175.886 
60000 -179.181 
65000 -173.615 
70000 -191.918 
75000 -175.248 
80000 -181.782 
85000 -179.625 
90000 -181.525 
95000 -170.881 
100000 -179.883 
105000 -147.127 
110000 -163.719 
115000 -168.989 
120000 -175.866 
125000 -164.421 
130000 -181.393 
135000 -172.863 
140000 -153.471 
145000 -170.211 
150000 -184.783 
155000 -179.401 
160000 -165.798 
165000 -164.780 
170000 -170.651 
175000 -171.534 
180000 -161.097 
185000 -159.829 
190000 -178.267 
195000 -171.040 
200000 -164.761 
